OBJECTID,TREE_ID,TREE_NUMBER,HEIGHT_M,GIRTH,AGE_CLASS,SPECIES_ID,SCIENTIFIC_NAME,POPULAR_NAME,NBN_TAXON_VERSION_KEY,EASTING,NORTHING,LATITUDE,LONGITUDE
46113,"{45660510-AE05-4866-A2E6-7A9D9171FA82}","EASTEND176","10-15m.","50-100cm","Mature",,,,,343527,731806,56.4749725576831,-2.91834813208055
46129,"{37308A4F-2F70-4BB6-92FB-CE45E4BB0D0A}","EASTEND177","10-15m.","50-100cm","Mature",370,"Acer platanoides 'Crimson King'","Norway maple 'Crimson King'",,343518,731810,56.4750074082646,-2.91849507900987
46145,"{D281792C-9FE6-4A18-A2D3-65E0DDA3FE3C}","MARYFIELD1042","15-20m.","25-50cm","Immature",416,"Betula pendula","Silver birch","NBNSYS0000003827",341562,732044,56.476870415704,-2.95029522815921
46161,"{D5B8EC79-0249-4568-BFF3-B6855310CDF3}","MARYFIELD1040","10-15m.","50-100cm","Immature",485,"Acer pseudoplatanus","Sycamore","NBNSYS0000003191",341553,732041,56.4768423491454,-2.95044063943345
46177,"{56042A04-0E7B-4418-B6BF-DD7C192ADE95}","MARYFIELD1041","10-15m.","50-100cm","Immature",659,"Quercus cerris","European turkey oak","NBNSYS0000003843",341547,732041,56.4768416034972,-2.95053802930964
46193,"{34C7ACD2-7644-4554-A5F8-B57FBAAA0207}","MARYFIELD1045","5-10m.","25-50cm","Immature",606,"Crataegus monogyna","Common hawthorn","NBNSYS0000003430",341582,732055,56.4769717104497,-2.94997306379739
46209,"{A096C1A0-138E-4949-9544-D109FE27BF2B}","MARYFIELD1046","5-10m.","25-50cm","Mature",388,"Prunus cerasifera var 'Pissardii'","Pissard's purple plum","NBNSYS0000033318",341584,732051,56.4769360278848,-2.94993970265627
46225,"{1E1260A7-3BBE-4606-95DA-88F1AE2A2B5C}","MARYFIELD1047","10-15m.","25-50cm","Mature",476,"Salix alba","White willow","NBNSYS0000003859",341591,732059,56.4770087592071,-2.9498278760857
46241,"{74346C3C-7158-4800-B4C3-435D8342AF85}","STRATHMARTINE161","20-25m.","100-150cm","Mature",482,"Quercus robur","English Oak","NBNSYS0000003845",335888,732693,56.4819609137633,-3.04255136472755
46257,"{A915F4E9-8A70-4367-A47E-0575B5D3C8AB}","STRATHMARTINE162","20-25m.","50-100cm","Mature",485,"Acer pseudoplatanus","Sycamore","NBNSYS0000003191",335899,732700,56.4820252904909,-3.04237452174664
46273,"{539D7D54-1477-4484-9130-F170A8103C5F}","STRATHMARTINE163","20-25m.","100-150cm","Mature",485,"Acer pseudoplatanus","Sycamore","NBNSYS0000003191",335879,732699,56.4820135817426,-3.04269894343528
46481,"{10758812-4886-431E-AB09-E543EF7F80F8}","STRATHMARTINE171","25-30m.","150-200cm","Over-mature",302,"Abies grandis","Grand fir","NHMSYS0000455520",335923,734188,56.4953944839202,-3.04235145084868
46497,"{2FEA735A-3B4E-4508-809D-E49B1AB4D8CE}","STRATHMARTINE172","25-30m.","150-200cm","Over-mature",302,"Abies grandis","Grand fir","NHMSYS0000455520",335863,734198,56.4954761261331,-3.04332826410274
46513,"{AC5E8AA7-4D31-4C98-97E8-2F099FEF4A96}","STRATHMARTINE173","5-10m.","25-50cm","Over-mature",554,"Ulmus glabra 'Camperdown'","Camperdown elm",,335907,732730,56.4822958552932,-3.04225204297119
46529,"{7BF14A7B-6FE4-4E70-B3A5-7F0E86E73DEE}","STRATHMARTINE174","5-10m.","50-100cm","Immature",632,"Cedrus deodara","Deodar","NHMSYS0000457002",335925,733023,56.4849301754646,-3.04203198679382
46545,"{218DC2E6-0650-41E0-A60E-F9DDA5BEC9AC}","STRATHMARTINE146","10-15m.","50-100cm","Mature",654,"Carpinus betulus","European hornbeam","NBNSYS0000003838",335564,733010,56.4847640782796,-3.04788946583778
46609,"{C3A519F1-7B72-40C3-BCEF-6CDB87FC1638}","MARYFIELD1005","5-10m.","25-50cm","Semi-mature",562,"Malus tschonoskii","Pillar Apple",,340563,730350,56.4615285174138,-2.96612396292933
46641,"{E8C851B4-DD65-4D22-92F4-0D48E933AB53}","MARYFIELD1015","0-5m.","25-50cm","Semi-mature",643,"Ulmus procera","English elm","NBNSYS0000003812",340547,730234,56.460484500421,-2.96635709514738
46657,"{C303A0B9-33BA-4B6E-B369-49F1D7A60041}","MARYFIELD1020","10-15m.","50-100cm","Mature",487,"Ulmus glabra","Wych Elm","NHMSYS0000464701",340386,730131,56.4595389145938,-2.96894568891595
46705,"{18712D81-6CEF-4A63-A2EE-A7FA041C5C5E}","MARYFIELD1033","5-10m.","25-50cm","Semi-mature",490,"Corylus colurna","Turkish Hazel","NBNSYS0000042084",341667,731235,56.4696164029955,-2.9484096372288
46721,"{E063A812-17D6-4F41-A4BD-7747C17032C2}","COLDSIDE331","5-10m.","50-100cm","Immature",484,"Acer platanoides","Norway maple","NBNSYS0000003192",339468,732215,56.4781416202908,-2.98432380179482
46769,"{C39A0EC5-9DF9-4AE9-8C7F-D22E13243BC6}","COLDSIDE334","0-5m.","25-50cm","Immature",364,"Prunus 'Shirotae'","Mount Fuji cherry",,339379,730670,56.4642519514146,-2.98540877405129
46785,"{FCCCCD92-9EA0-4441-BFC7-93B6B0FC0798}","COLDSIDE337","5-10m.","50-100cm","Immature",593,"Tilia x euchlora","Caucasian lime","NHMSYS0001754475",339373,730653,56.4640984730954,-2.98550217445774
46801,"{CF5FFB1F-010B-488D-9C8F-481221F1AAFA}","COLDSIDE339","0-5m.","0-5cm.","Young",,,,,339390,730653,56.4641006629357,-2.98522633172189
46817,"{83705DAE-E757-46CB-8D2B-BA3DF5A6F0BA}","COLDSIDE342","0-5m.","0-5cm.","Immature",593,"Tilia x euchlora","Caucasian lime","NHMSYS0001754475",339421,730653,56.4641046545965,-2.98472332428034
46833,"{486AF95C-BAA0-4284-B555-0F15E6DE103D}","WESTEND1227","0-5m.","20-25cm.","Young",484,"Acer platanoides","Norway maple","NBNSYS0000003192",338147,730539,56.4629149133218,-3.00536813648305
46849,"{06D1A090-2D42-4273-84DC-E67437455DF4}","EASTEND172","10-15m.","50-100cm","Mature",370,"Acer platanoides 'Crimson King'","Norway maple 'Crimson King'",,343516,731806,56.4749712367708,-2.91852667303917
